id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date
7129300520,221900.0,3.0,1.0,1180.0,5650,1.0,0,0,3.0,7.0,1180,0,1955,0,98178,47.5112,-122.257,1340,5650.0,20141013T000000
6414100192,538000.0,3.0,2.25,2570.0,7242,2.0,0,0,3.0,7.0,2170,400,1951,0,98125,47.721,-122.319,1690,7639.0,20141209T000000
5631500400,180000.0,2.0,1.0,770.0,10000,1.0,0,0,3.0,6.0,770,0,1933,0,98028,47.7379,-122.233,2720,8062.0,20150225T000000
2487200875,604000.0,4.0,3.0,1960.0,5000,1.0,0,0,5.0,7.0,1050,910,1965,0,98136,47.5208,-122.393,1360,5000.0,20141209T000000
1954400510,510000.0,3.0,2.0,1680.0,8080,1.0,0,0,3.0,8.0,1680,0,1987,0,98074,47.6168,-122.045,1800,7503.0,20150218T000000
7237550310,1129575.0,4.0,3.625,4234.5,19160,1.0,0,0,3.0,9.5,3740,1400,2001,0,98053,47.6561,-122.005,3665,17557.5,20140512T000000
1321400060,257500.0,3.0,2.25,1715.0,6819,2.0,0,0,3.0,7.0,1715,0,1995,0,98003,47.3097,-122.327,2238,6819.0,20140627T000000
2008000270,291850.0,3.0,1.5,1060.0,9711,1.0,0,0,3.0,7.0,1060,0,1963,0,98198,47.4095,-122.315,1650,9711.0,20150115T000000
2414600126,229500.0,3.0,1.0,1780.0,7470,1.0,0,0,3.0,7.0,1050,730,1960,0,98146,47.5123,-122.337,1780,8113.0,20150415T000000
3793500160,323000.0,3.0,2.5,1890.0,6560,2.0,0,0,3.0,7.0,1890,0,2003,0,98038,47.3684,-122.031,2390,7570.0,20150312T000000
1736800520,662500.0,3.0,2.5,3560.0,9796,1.0,0,0,3.0,8.0,1860,1400,1965,0,98007,47.6007,-122.145,2210,8925.0,20150403T000000
9212900260,468000.0,2.0,1.0,1160.0,6000,1.0,0,0,4.0,7.0,860,300,1942,0,98115,47.69,-122.292,1330,6000.0,20140527T000000
114101516,310000.0,3.0,1.0,1430.0,19160,1.5,0,0,4.0,7.0,1430,0,1927,0,98028,47.7558,-122.229,1780,12697.0,20140528T000000
6054650070,400000.0,3.0,1.75,1370.0,9680,1.0,0,0,4.0,7.0,1370,0,1977,0,98074,47.6127,-122.045,1370,10208.0,20141007T000000
1175000570,530000.0,5.0,2.0,1810.0,4850,1.5,0,0,3.0,7.0,1810,0,1900,0,98107,47.67,-122.394,1360,4850.0,20150312T000000
9297300055,650000.0,4.0,3.0,2950.0,5000,2.0,0,0,3.0,9.0,1980,970,1979,0,98126,47.5714,-122.375,2140,4000.0,20150124T000000
1875500060,395000.0,3.0,2.0,1890.0,14040,2.0,0,0,3.0,7.0,1890,0,1994,0,98019,47.7277,-121.962,1890,14018.0,20140731T000000
6865200140,485000.0,4.0,1.0,1600.0,4300,1.5,0,0,4.0,7.0,1600,0,1916,0,98103,47.6648,-122.343,1610,4300.0,20140529T000000
16000397,189000.0,2.0,1.0,1200.0,9850,1.0,0,0,4.0,7.0,1200,0,1921,0,98002,47.3089,-122.21,1060,5095.0,20141205T000000
7983200060,230000.0,3.0,1.0,1250.0,9774,1.0,0,0,4.0,7.0,1250,0,1969,0,98003,47.3343,-122.306,1280,8850.0,20150424T000000
6300500875,385000.0,4.0,1.75,1620.0,4980,1.0,0,0,4.0,7.0,860,760,1947,0,98133,47.7025,-122.341,1400,4980.0,20140514T000000
2524049179,1129575.0,3.0,2.75,3050.0,19160,1.0,0,0,3.0,9.0,2330,720,1968,0,98040,47.5316,-122.233,3665,17557.5,20140826T000000
7137970340,285000.0,5.0,2.5,2270.0,6300,2.0,0,0,3.0,8.0,2270,0,1995,0,98092,47.3266,-122.169,2240,7005.0,20140703T000000
8091400200,252700.0,2.0,1.5,1070.0,9643,1.0,0,0,3.0,7.0,1070,0,1985,0,98030,47.3533,-122.166,1220,8386.0,20140516T000000
3814700200,329000.0,3.0,2.25,2450.0,6500,2.0,0,0,4.0,8.0,2450,0,1985,0,98030,47.3739,-122.172,2200,6865.0,20141120T000000
1202000200,233000.0,3.0,2.0,1710.0,4697,1.5,0,0,5.0,6.0,1710,0,1941,0,98002,47.3048,-122.218,1030,4705.0,20141103T000000
1794500383,937000.0,3.0,1.75,2450.0,2691,2.0,0,0,3.0,8.0,1750,700,1915,0,98119,47.6386,-122.36,1760,3573.0,20140626T000000
3303700376,667000.0,3.0,1.0,1400.0,1581,1.5,0,0,5.0,8.0,1400,0,1909,0,98112,47.6221,-122.314,1860,3861.0,20141201T000000
5101402488,438000.0,3.0,1.75,1520.0,6380,1.0,0,0,3.0,7.0,790,730,1948,0,98115,47.695,-122.304,1520,6235.0,20140624T000000
1873100390,719000.0,4.0,2.5,2570.0,7173,2.0,0,0,3.0,8.0,2570,0,2005,0,98052,47.7073,-122.11,2630,6026.0,20150302T000000
8562750320,580500.0,3.0,2.5,2320.0,3980,2.0,0,0,3.0,8.0,2320,0,2003,0,98027,47.5391,-122.07,2580,3980.0,20141110T000000
2426039314,280000.0,2.0,1.5,1190.0,1265,3.0,0,0,3.0,7.0,1190,0,2005,0,98133,47.7274,-122.357,1390,1756.0,20141201T000000
461000390,687500.0,4.0,1.75,2330.0,5000,1.5,0,0,4.0,7.0,1510,820,1929,0,98117,47.6823,-122.368,1460,5000.0,20140624T000000
7589200193,535000.0,3.0,1.0,1090.0,3000,1.5,0,0,4.0,8.0,1090,0,1929,0,98117,47.6889,-122.375,1570,5080.0,20141110T000000
7955080270,322500.0,4.0,2.75,2060.0,6659,1.0,0,0,3.0,7.0,1280,780,1981,0,98058,47.4276,-122.157,2020,8720.0,20141203T000000
9547205180,696000.0,3.0,2.5,2300.0,3060,1.5,0,0,3.0,8.0,1510,790,1930,0,98115,47.6827,-122.31,1590,3264.0,20140613T000000
9435300030,550000.0,4.0,1.0,1660.0,19160,1.0,0,0,1.5,5.5,930,730,1933,0,98052,47.6621,-122.132,2160,11467.0,20140528T000000
2768000400,640000.0,4.0,2.0,2360.0,6000,2.0,0,0,4.0,8.0,2360,0,1904,0,98107,47.6702,-122.362,1730,4700.0,20141230T000000
7895500070,240000.0,4.0,1.0,1220.0,8075,1.0,0,0,2.0,7.0,890,330,1969,0,98001,47.3341,-122.282,1290,7800.0,20150213T000000
